epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2767,1.00824,0.51344,0.81052,0.96513,0.95425,0.98497,0.66606,0.76489,0.44386,0.78265,0.000627451,0.000627451,0.000627451
2,25.9222,0.92897,0.50805,0.784,0.95378,0.95294,0.98028,0.76425,0.57646,0.54268,0.75748,0.00120871,0.00120871,0.00120871
3,38.5273,0.84591,0.4781,0.78192,0.98172,0.98306,0.99401,0.75221,0.57839,0.41009,0.7584,0.00170196,0.00170196,0.00170196
4,51.2265,0.81686,0.45045,0.77667,0.97916,0.98693,0.99358,0.73794,0.67143,0.42749,0.77838,0.001604,0.001604,0.001604
5,63.8674,0.79187,0.44255,0.77526,0.98956,0.99153,0.99484,0.79371,0.6175,0.39804,0.77171,0.001472,0.001472,0.001472
6,76.2218,0.6915,0.51595,0.77862,0.98166,0.97935,0.99421,0.7477,0.60577,0.45303,0.77033,0.00134,0.00134,0.00134
7,89.567,0.71344,0.4485,0.7807,0.99477,0.99365,0.99499,0.8004,0.52877,0.51414,0.75828,0.001208,0.001208,0.001208
8,102.965,0.67688,0.44067,0.78043,0.9883,0.99357,0.99486,0.75717,0.60436,0.4971,0.76916,0.001076,0.001076,0.001076
9,116.226,0.69341,0.42091,0.77684,0.99217,0.99608,0.99495,0.83326,0.46741,0.34887,0.75111,0.000944,0.000944,0.000944
10,129.71,0.67477,0.40849,0.78022,0.99318,0.99216,0.99485,0.8108,0.54159,0.35136,0.76499,0.000812,0.000812,0.000812
11,143.268,0.63309,0.37684,0.77397,0.99087,0.99318,0.99492,0.7654,0.60146,0.34569,0.76735,0.00068,0.00068,0.00068
12,156.985,0.59505,0.36338,0.77984,0.99334,1,0.99497,0.8491,0.43414,0.3023,0.75223,0.000548,0.000548,0.000548
13,170.384,0.56803,0.34566,0.77228,0.99482,0.99477,0.99499,0.79789,0.51265,0.30612,0.75924,0.000416,0.000416,0.000416
14,184.088,0.55733,0.33561,0.76655,0.99477,0.99537,0.99499,0.84033,0.46084,0.29022,0.75583,0.000284,0.000284,0.000284
15,197.221,0.54763,0.32874,0.76706,0.99638,0.99346,0.995,0.81779,0.4991,0.29542,0.76111,0.000152,0.000152,0.000152
